group,image_id,image_path,I_nc,I_sample,ratio,sat_nc,sat_sample,pred,correct,note
neg_neg,neg_neg_1,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_1.jpg,210.0000,189.0000,0.900000,0.0000,0.0000,neg,True,
neg_neg,neg_neg_10,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_10.jpg,232.0000,227.0000,0.978448,0.0011,0.0000,neg,True,
neg_neg,neg_neg_11,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_11.jpg,193.0000,204.0000,1.056995,0.0000,0.0000,neg,True,
neg_neg,neg_neg_12,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_12.jpg,191.0000,202.0000,1.057592,0.0000,0.0000,neg,True,
neg_neg,neg_neg_13,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_13.jpg,202.0000,220.0000,1.089109,0.0000,0.0000,neg,True,
neg_neg,neg_neg_14,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_14.jpg,204.0000,221.0000,1.083333,0.0000,0.0000,neg,True,
neg_neg,neg_neg_15,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_15.jpg,206.0000,201.0000,0.975728,0.0000,0.0000,neg,True,
neg_neg,neg_neg_16,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_16.jpg,204.0000,201.0000,0.985294,0.0000,0.0000,neg,True,
neg_neg,neg_neg_17,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_17.jpg,182.0000,170.0000,0.934066,0.0000,0.0000,neg,True,
neg_neg,neg_neg_18,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_18.jpg,180.0000,171.0500,0.950278,0.0000,0.0000,neg,True,
neg_neg,neg_neg_19,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_19.jpg,241.0000,236.0000,0.979253,0.0000,0.0000,neg,True,
neg_neg,neg_neg_2,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_2.jpg,208.0000,187.0000,0.899038,0.0000,0.0000,neg,True,
neg_neg,neg_neg_20,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_20.jpg,242.0000,235.0000,0.971074,0.0025,0.0010,neg,True,
neg_neg,neg_neg_21,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_21.jpg,161.0000,186.0000,1.155280,0.0000,0.0000,pos,False,
neg_neg,neg_neg_22,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_22.jpg,183.0000,215.0000,1.174863,0.0000,0.0000,pos,False,
neg_neg,neg_neg_23,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_23.jpg,184.0000,224.0000,1.217391,0.0000,0.0000,pos,False,
neg_neg,neg_neg_24,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_24.jpg,180.0000,214.0000,1.188889,0.0000,0.0000,pos,False,
neg_neg,neg_neg_25,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_25.jpg,,,,,,,,ROI_PARTIAL
neg_neg,neg_neg_26,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_26.jpg,,,,,,,,ROI_PARTIAL
neg_neg,neg_neg_3,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_3.jpg,203.0000,195.0000,0.960591,0.0000,0.0000,neg,True,
neg_neg,neg_neg_4,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_4.jpg,203.0000,195.0000,0.960591,0.0000,0.0000,neg,True,
neg_neg,neg_neg_5,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_5.jpg,200.0000,201.0000,1.005000,0.0000,0.0000,neg,True,
neg_neg,neg_neg_6,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_6.jpg,174.0000,173.0000,0.994253,0.0000,0.0000,neg,True,
neg_neg,neg_neg_7,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_7.jpg,200.0000,206.0000,1.030000,0.0000,0.0000,neg,True,
neg_neg,neg_neg_8,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_8.jpg,226.0000,229.0000,1.013274,0.0000,0.0002,neg,True,
neg_neg,neg_neg_9,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_9.jpg,231.0000,227.0000,0.982684,0.0000,0.0000,neg,True,
