dataset,split,image_id,label,y,score
solo,train,solo_train_neg_1,neg,0,193.000000
solo,train,solo_train_neg_10,neg,0,221.000000
solo,train,solo_train_neg_11,neg,0,221.000000
solo,train,solo_train_neg_12,neg,0,206.000000
solo,train,solo_train_neg_13,neg,0,212.000000
solo,train,solo_train_neg_14,neg,0,213.000000
solo,train,solo_train_neg_15,neg,0,204.000000
solo,train,solo_train_neg_16,neg,0,213.000000
solo,train,solo_train_neg_17,neg,0,211.000000
solo,train,solo_train_neg_18,neg,0,202.000000
solo,train,solo_train_neg_19,neg,0,209.000000
solo,train,solo_train_neg_2,neg,0,195.000000
solo,train,solo_train_neg_20,neg,0,208.000000
solo,train,solo_train_neg_21,neg,0,211.000000
solo,train,solo_train_neg_22,neg,0,210.000000
solo,train,solo_train_neg_23,neg,0,198.000000
solo,train,solo_train_neg_24,neg,0,198.000000
solo,train,solo_train_neg_25,neg,0,170.000000
solo,train,solo_train_neg_26,neg,0,169.000000
solo,train,solo_train_neg_27,neg,0,179.000000
solo,train,solo_train_neg_28,neg,0,178.000000
solo,train,solo_train_neg_29,neg,0,208.000000
solo,train,solo_train_neg_3,neg,0,212.000000
solo,train,solo_train_neg_30,neg,0,208.000000
solo,train,solo_train_neg_31,neg,0,212.000000
solo,train,solo_train_neg_32,neg,0,210.000000
solo,train,solo_train_neg_33,neg,0,203.000000
solo,train,solo_train_neg_34,neg,0,205.000000
solo,train,solo_train_neg_35,neg,0,199.000000
solo,train,solo_train_neg_36,neg,0,200.000000
solo,train,solo_train_neg_37,neg,0,208.000000
solo,train,solo_train_neg_38,neg,0,210.000000
solo,train,solo_train_neg_39,neg,0,207.000000
solo,train,solo_train_neg_4,neg,0,212.000000
solo,train,solo_train_neg_40,neg,0,208.000000
solo,train,solo_train_neg_5,neg,0,214.000000
solo,train,solo_train_neg_6,neg,0,214.000000
solo,train,solo_train_neg_7,neg,0,211.000000
solo,train,solo_train_neg_8,neg,0,212.000000
solo,train,solo_train_neg_9,neg,0,208.000000
solo,train,solo_train_pos_1,pos,1,246.000000
solo,train,solo_train_pos_10,pos,1,239.000000
solo,train,solo_train_pos_11,pos,1,227.000000
solo,train,solo_train_pos_12,pos,1,227.000000
solo,train,solo_train_pos_13,pos,1,225.000000
solo,train,solo_train_pos_14,pos,1,244.000000
solo,train,solo_train_pos_15,pos,1,227.000000
solo,train,solo_train_pos_16,pos,1,226.000000
solo,train,solo_train_pos_17,pos,1,221.000000
solo,train,solo_train_pos_18,pos,1,222.000000
solo,train,solo_train_pos_19,pos,1,237.000000
solo,train,solo_train_pos_2,pos,1,247.000000
solo,train,solo_train_pos_20,pos,1,222.000000
solo,train,solo_train_pos_21,pos,1,237.000000
solo,train,solo_train_pos_22,pos,1,238.000000
solo,train,solo_train_pos_23,pos,1,232.000000
solo,train,solo_train_pos_24,pos,1,254.000000
solo,train,solo_train_pos_25,pos,1,254.000000
solo,train,solo_train_pos_26,pos,1,242.000000
solo,train,solo_train_pos_27,pos,1,242.000000
solo,train,solo_train_pos_28,pos,1,233.000000
solo,train,solo_train_pos_29,pos,1,234.000000
solo,train,solo_train_pos_3,pos,1,230.000000
solo,train,solo_train_pos_30,pos,1,245.000000
solo,train,solo_train_pos_31,pos,1,243.000000
solo,train,solo_train_pos_32,pos,1,229.000000
solo,train,solo_train_pos_33,pos,1,228.000000
solo,train,solo_train_pos_34,pos,1,242.000000
solo,train,solo_train_pos_35,pos,1,242.000000
solo,train,solo_train_pos_36,pos,1,248.000000
solo,train,solo_train_pos_37,pos,1,247.000000
solo,train,solo_train_pos_38,pos,1,240.000000
solo,train,solo_train_pos_39,pos,1,240.000000
solo,train,solo_train_pos_4,pos,1,231.000000
solo,train,solo_train_pos_40,pos,1,237.000000
solo,train,solo_train_pos_5,pos,1,235.000000
solo,train,solo_train_pos_6,pos,1,223.000000
solo,train,solo_train_pos_7,pos,1,225.000000
solo,train,solo_train_pos_8,pos,1,225.000000
solo,train,solo_train_pos_9,pos,1,239.000000
solo,test,solo_test_neg_blue_1,neg,0,206.000000
solo,test,solo_test_neg_blue_2,neg,0,209.000000
solo,test,solo_test_neg_neg_2x_01,neg,0,206.000000
solo,test,solo_test_neg_neg_2x_02,neg,0,209.000000
solo,test,solo_test_neg_r_0,neg,0,209.000000
solo,test,solo_test_neg_tube_1_1,neg,0,209.000000
solo,test,solo_test_neg_tube_1_2,neg,0,222.000000
solo,test,solo_test_neg_tube_2_1,neg,0,190.000000
solo,test,solo_test_neg_tube_2_2,neg,0,203.000000
solo,test,solo_test_neg_tube_3_1,neg,0,200.000000
solo,test,solo_test_neg_tube_3_2,neg,0,200.000000
solo,test,solo_test_neg_tube_4_1,neg,0,204.000000
solo,test,solo_test_neg_tube_4_2,neg,0,192.000000
solo,test,solo_test_neg_tube_5_1,neg,0,208.000000
solo,test,solo_test_neg_tube_5_2,neg,0,210.000000
solo,test,solo_test_pos_2x_01,pos,1,255.000000
solo,test,solo_test_pos_2x_02,pos,1,255.000000
solo,test,solo_test_pos_blue_1,pos,1,255.000000
solo,test,solo_test_pos_blue_2,pos,1,255.000000
solo,test,solo_test_pos_r_0_1,pos,1,255.000000
