group	file	tube_confs	roi_confs
pair_neg_neg	neg_neg_11.jpg	tube=0.86,0.83	roi=0.80,0.71
pair_neg_neg	neg_neg_12.jpg	tube=0.86,0.84	roi=0.81,0.71
pair_neg_neg	neg_neg_25.jpg	tube=0.85,0.84	roi=0.80,0.68
pair_neg_neg	neg_neg_26.jpg	tube=0.87,0.85	roi=0.83,0.55
qc_blur	blur_neg_3_2.jpg	tube=0.86	roi=0.74
qc_blur	blur_neg_5_2.jpg	tube=0.81	roi=0.73
qc_light	light_1.jpg	tube=0.72	roi=0.33
qc_splash	splash_neg_1_1.jpg	tube=0.85	roi=0.69
qc_splash	splash_neg_1_2.jpg	tube=0.86	roi=0.71
qc_splash	splash_pos_2_1.jpg	tube=0.87	roi=0.60
qc_splash	splash_pos_2_2.jpg	tube=0.87	roi=0.62
qc_splash	splash_pos_3_1.jpg	tube=0.86	roi=0.74
test_all	galaxy_neg_half.jpg	tube=0.86,0.84	roi=0.79,0.66
test_all	galaxy_neg_pos_1.jpg	tube=0.86,0.85	roi=0.80,0.67
test_all	galaxy_neg_pos_3.jpg	tube=0.85,0.85	roi=0.81,0.68
test_all	galaxy_neg_pos_4.jpg	tube=0.85,0.84	roi=0.81,0.70
