image_id,image_path,group,n_tube,n_roi,top_tube_conf,top_roi_conf,second_roi_conf,tube_conf_list,roi_conf_list
neg_neg_1,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_1.jpg,pair_neg_neg,2,2,0.8464,0.8142,0.8082,0.8464;0.8168,0.8142;0.8082
neg_neg_10,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_10.jpg,pair_neg_neg,2,2,0.8515,0.8043,0.7915,0.8515;0.8161,0.8043;0.7915
neg_neg_11,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_11.jpg,pair_neg_neg,2,2,0.8580,0.7985,0.7146,0.8580;0.8330,0.7985;0.7146
neg_neg_12,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_12.jpg,pair_neg_neg,2,2,0.8604,0.8053,0.7076,0.8604;0.8365,0.8053;0.7076
neg_neg_13,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_13.jpg,pair_neg_neg,2,2,0.8761,0.8021,0.7912,0.8761;0.8556,0.8021;0.7912
neg_neg_14,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_14.jpg,pair_neg_neg,2,2,0.8620,0.8047,0.8019,0.8620;0.8585,0.8047;0.8019
neg_neg_15,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_15.jpg,pair_neg_neg,2,2,0.8684,0.8307,0.8184,0.8684;0.8484,0.8307;0.8184
neg_neg_16,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_16.jpg,pair_neg_neg,2,2,0.8678,0.8304,0.8182,0.8678;0.8306,0.8304;0.8182
neg_neg_17,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_17.jpg,pair_neg_neg,2,2,0.8597,0.8059,0.7914,0.8597;0.8352,0.8059;0.7914
neg_neg_18,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_18.jpg,pair_neg_neg,2,2,0.8552,0.8052,0.8051,0.8552;0.8395,0.8052;0.8051
neg_neg_19,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_19.jpg,pair_neg_neg,2,2,0.8857,0.7869,0.7734,0.8857;0.8520,0.7869;0.7734
neg_neg_2,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_2.jpg,pair_neg_neg,2,2,0.8424,0.8097,0.7850,0.8424;0.8193,0.8097;0.7850
neg_neg_20,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_20.jpg,pair_neg_neg,2,2,0.8844,0.7770,0.7703,0.8844;0.8473,0.7770;0.7703
neg_neg_21,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_21.jpg,pair_neg_neg,2,2,0.8449,0.8196,0.8049,0.8449;0.8333,0.8196;0.8049
neg_neg_22,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_22.jpg,pair_neg_neg,2,2,0.8460,0.8006,0.7992,0.8460;0.8419,0.8006;0.7992
neg_neg_23,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_23.jpg,pair_neg_neg,2,2,0.8596,0.8087,0.8072,0.8596;0.8491,0.8087;0.8072
neg_neg_24,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_24.jpg,pair_neg_neg,2,2,0.8632,0.7888,0.7716,0.8632;0.8523,0.7888;0.7716
neg_neg_25,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_25.jpg,pair_neg_neg,2,2,0.8456,0.8041,0.6775,0.8456;0.8423,0.8041;0.6775
neg_neg_26,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_26.jpg,pair_neg_neg,2,2,0.8731,0.8281,0.5502,0.8731;0.8538,0.8281;0.5502
neg_neg_3,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_3.jpg,pair_neg_neg,2,2,0.8511,0.8117,0.8058,0.8511;0.8247,0.8117;0.8058
neg_neg_4,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_4.jpg,pair_neg_neg,2,2,0.8545,0.8104,0.8072,0.8545;0.8300,0.8104;0.8072
neg_neg_5,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_5.jpg,pair_neg_neg,2,2,0.8624,0.8138,0.7968,0.8624;0.8394,0.8138;0.7968
neg_neg_6,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_6.jpg,pair_neg_neg,2,2,0.8619,0.8085,0.7978,0.8619;0.8408,0.8085;0.7978
neg_neg_7,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_7.jpg,pair_neg_neg,2,2,0.8553,0.8166,0.8127,0.8553;0.8338,0.8166;0.8127
neg_neg_8,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_8.jpg,pair_neg_neg,2,2,0.8549,0.8076,0.8052,0.8549;0.8440,0.8076;0.8052
neg_neg_9,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_9.jpg,pair_neg_neg,2,2,0.8553,0.8123,0.7933,0.8553;0.8502,0.8123;0.7933
pair_neg_pos_1,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_1.jpg,pair_neg_pos,2,2,0.8676,0.8237,0.8207,0.8676;0.8392,0.8237;0.8207
pair_neg_pos_10,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_10.jpg,pair_neg_pos,2,2,0.8587,0.8126,0.8125,0.8587;0.8361,0.8126;0.8125
pair_neg_pos_11,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_11.jpg,pair_neg_pos,2,2,0.8414,0.8108,0.7987,0.8414;0.8351,0.8108;0.7987
pair_neg_pos_12,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_12.jpg,pair_neg_pos,2,2,0.8424,0.8216,0.8063,0.8424;0.8418,0.8216;0.8063
pair_neg_pos_13,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_13.jpg,pair_neg_pos,2,2,0.8621,0.8047,0.8046,0.8621;0.8371,0.8047;0.8046
pair_neg_pos_14,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_14.jpg,pair_neg_pos,2,2,0.8576,0.7920,0.7824,0.8576;0.8124,0.7920;0.7824
pair_neg_pos_15,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_15.jpg,pair_neg_pos,2,2,0.8582,0.7933,0.7877,0.8582;0.8091,0.7933;0.7877
pair_neg_pos_16,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_16.jpg,pair_neg_pos,2,2,0.8495,0.8302,0.7948,0.8495;0.8435,0.8302;0.7948
pair_neg_pos_17,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_17.jpg,pair_neg_pos,2,2,0.8453,0.8276,0.7965,0.8453;0.8409,0.8276;0.7965
pair_neg_pos_18,C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_18.jpg,pair_neg_pos,2,2,0.8433,0.8016,0.7944,0.8433;0.8307,0.8016;0.7944
