group,metric,total,thr_0.50,thr_0.55,thr_0.60,thr_0.65,thr_0.70,thr_0.75,thr_0.80,thr_0.85
pair_neg_neg,tube_detected,26,26,26,26,26,26,26,26,21
pair_neg_neg,roi_detected,26,26,26,26,26,26,26,22,0
pair_neg_neg,tube_and_roi,26,26,26,26,26,26,26,22,0
pair_neg_neg,two_rois,26,26,26,25,25,24,22,11,0
pair_neg_pos,tube_detected,20,20,20,20,20,20,20,20,12
pair_neg_pos,roi_detected,20,20,20,20,20,20,20,18,0
pair_neg_pos,tube_and_roi,20,20,20,20,20,20,20,18,0
pair_neg_pos,two_rois,20,20,20,20,20,20,20,12,0
qc_blur,tube_detected,20,20,20,20,20,20,20,20,15
qc_blur,roi_detected,20,20,20,20,20,20,18,14,0
qc_blur,tube_and_roi,20,20,20,20,20,20,18,14,0
qc_blur,two_rois,20,0,0,0,0,0,0,0,0
qc_light,tube_detected,20,19,19,19,19,19,18,17,12
qc_light,roi_detected,20,19,19,19,19,19,19,18,0
qc_light,tube_and_roi,20,18,18,18,18,18,18,16,0
qc_light,two_rois,20,0,0,0,0,0,0,0,0
qc_splash,tube_detected,20,20,20,20,20,20,20,20,14
qc_splash,roi_detected,20,6,6,6,4,3,1,0,0
qc_splash,tube_and_roi,20,6,6,6,4,3,1,0,0
qc_splash,two_rois,20,0,0,0,0,0,0,0,0
solo,tube_detected,110,110,110,110,110,110,110,110,40
solo,roi_detected,110,110,110,110,110,110,110,103,0
solo,tube_and_roi,110,110,110,110,110,110,110,103,0
solo,two_rois,110,0,0,0,0,0,0,0,0
test_all,tube_detected,22,22,22,22,22,22,22,22,17
test_all,roi_detected,22,22,22,22,22,22,22,17,0
test_all,tube_and_roi,22,22,22,22,22,22,22,17,0
test_all,two_rois,22,16,16,16,16,13,12,8,0
