method,metric,cohens_d,d_ci_lo,d_ci_hi,welch_t,welch_p,pos_mean,neg_mean,pos_n,neg_n,pos_sat_frac
G,p95,3.1911465577284495,2.797360054256882,3.806769723451492,16.734513727766593,1.0602044748010002e-31,238.4909090909091,204.70909090909092,55,55,0.034541490909090915
G,mean,2.9844787388122738,2.6425621262349392,3.486116638931339,15.650738542210036,3.6299898795245566e-28,218.76631747272725,183.59982663636364,55,55,0.034541490909090915
GRAY,p95,2.391543289911241,2.086740045060769,2.8630281004868627,12.541358816204317,7.250336740977329e-22,221.87272727272727,200.1818181818182,55,55,0.034541490909090915
GRAY,mean,2.2329875009582647,1.8987152219352168,2.678203883236693,11.709885244291913,7.270399866514263e-21,206.86644738181818,183.03879954545454,55,55,0.034541490909090915
G_norm,p95,2.0885611410502603,1.6036376261329275,2.834012941663773,10.952507023389304,9.26138627534594e-19,111.46710587272726,103.7951910181818,55,55,0.034541490909090915
G_norm,mean,2.085524790083939,1.6676065367927095,2.712109911235117,10.936584264591165,3.518742460823631e-19,108.4131464,100.80110683636362,55,55,0.034541490909090915
HSV_V,mean,0.7759288737153528,0.4385886856143407,1.1064426167997787,4.06900534151681,9.46880844425844e-05,242.35801505454543,233.78925450909088,55,55,0.034541490909090915
HSV_V,p95,0.6893247117555411,0.44969987274348433,0.917835155429059,3.6148492847577542,0.0005913650190064391,253.16363636363636,247.5090909090909,55,55,0.034541490909090915
ExG,p95,0.4766113174675357,0.12957850471862054,0.8634821656785744,2.4993708344899224,0.013969615618283478,216.22131930909086,204.4869756545455,55,55,0.034541490909090915
ExG,mean,0.42540810497428383,0.07732185268126379,0.8039343483868711,2.2308589229016276,0.027812776383933993,161.75257203636363,150.17719923636363,55,55,0.034541490909090915
G_ratio,p95,0.2563783241727286,-0.10151842220714546,0.6570910173830853,1.3444592743569659,0.1816374951156925,241.25316250909088,239.5143075090909,55,55,0.034541490909090915
G_ratio,mean,0.1994874842771138,-0.18463117441128715,0.5585962739883515,1.0461211930452046,0.2978479472563065,229.96474976363635,228.3880021818182,55,55,0.034541490909090915
HSV_S,mean,-0.2695763861127621,-0.5927217241206776,0.12647827110851959,-1.41367049506399,0.16144006124512117,199.6066246,204.11291005454544,55,55,0.034541490909090915
HSV_S,p95,-0.3175908509260937,-0.6415615534258199,0.06451129316318385,-1.665460472745873,0.09957215806712878,202.94545454545454,208.12727272727273,55,55,0.034541490909090915
