image_id,image_path,role,label,method,tube_conf,roi_conf,mean_au,p95_au,sat_frac
solo_test_neg_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,solo,neg,G,0.8435,0.8185,181.763412,206.000000,0.000000
solo_test_neg_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,solo,neg,HSV_V,0.8435,0.8185,226.489197,247.000000,0.000000
solo_test_neg_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,solo,neg,GRAY,0.8435,0.8185,179.123749,200.000000,0.000000
solo_test_neg_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,solo,neg,HSV_S,0.8435,0.8185,208.542084,213.000000,0.000000
solo_test_neg_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,solo,neg,G_norm,0.8435,0.8185,102.949860,105.314468,0.000000
solo_test_neg_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,solo,neg,G_ratio,0.8435,0.8185,230.565109,239.473969,0.000000
solo_test_neg_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,solo,neg,ExG,0.8435,0.8185,118.033134,183.837204,0.000000
solo_test_neg_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,solo,neg,G,0.8440,0.8029,182.012100,209.000000,0.000000
solo_test_neg_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,solo,neg,HSV_V,0.8440,0.8029,226.173798,247.000000,0.000000
solo_test_neg_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,solo,neg,GRAY,0.8440,0.8029,179.140106,202.000000,0.000000
solo_test_neg_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,solo,neg,HSV_S,0.8440,0.8029,208.700562,213.000000,0.000000
solo_test_neg_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,solo,neg,G_norm,0.8440,0.8029,103.081085,106.163261,0.000000
solo_test_neg_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,solo,neg,G_ratio,0.8440,0.8029,226.907318,238.335831,0.000000
solo_test_neg_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,solo,neg,ExG,0.8440,0.8029,122.290314,187.500000,0.000000
solo_test_neg_neg_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,solo,neg,G,0.8435,0.8185,181.763412,206.000000,0.000000
solo_test_neg_neg_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,solo,neg,HSV_V,0.8435,0.8185,226.489197,247.000000,0.000000
solo_test_neg_neg_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,solo,neg,GRAY,0.8435,0.8185,179.123749,200.000000,0.000000
solo_test_neg_neg_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,solo,neg,HSV_S,0.8435,0.8185,208.542084,213.000000,0.000000
solo_test_neg_neg_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,solo,neg,G_norm,0.8435,0.8185,102.949860,105.314468,0.000000
solo_test_neg_neg_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,solo,neg,G_ratio,0.8435,0.8185,230.565109,239.473969,0.000000
solo_test_neg_neg_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,solo,neg,ExG,0.8435,0.8185,118.033134,183.837204,0.000000
solo_test_neg_neg_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,solo,neg,G,0.8440,0.8029,182.012100,209.000000,0.000000
solo_test_neg_neg_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,solo,neg,HSV_V,0.8440,0.8029,226.173798,247.000000,0.000000
solo_test_neg_neg_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,solo,neg,GRAY,0.8440,0.8029,179.140106,202.000000,0.000000
solo_test_neg_neg_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,solo,neg,HSV_S,0.8440,0.8029,208.700562,213.000000,0.000000
solo_test_neg_neg_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,solo,neg,G_norm,0.8440,0.8029,103.081085,106.163261,0.000000
solo_test_neg_neg_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,solo,neg,G_ratio,0.8440,0.8029,226.907318,238.335831,0.000000
solo_test_neg_neg_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,solo,neg,ExG,0.8440,0.8029,122.290314,187.500000,0.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,G,0.8440,0.8029,182.012100,209.000000,0.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,HSV_V,0.8440,0.8029,226.173798,247.000000,0.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,GRAY,0.8440,0.8029,179.140106,202.000000,0.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,HSV_S,0.8440,0.8029,208.700562,213.000000,0.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,G_norm,0.8440,0.8029,103.081085,106.163261,0.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,G_ratio,0.8440,0.8029,226.907318,238.335831,0.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,neg,ExG,0.8440,0.8029,122.290314,187.500000,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,G,0.8560,0.8195,185.198196,209.000000,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,HSV_V,0.8560,0.8195,241.924774,255.000000,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,GRAY,0.8560,0.8195,181.195236,199.000000,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,HSV_S,0.8560,0.8195,253.846649,255.000000,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,G_norm,0.8560,0.8195,109.775391,114.612900,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,G_ratio,0.8560,0.8195,220.801743,237.791656,0.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,neg,ExG,0.8560,0.8195,190.736374,235.583755,0.000000
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,solo,neg,G,0.8446,0.8256,199.546494,222.000000,0.000000
