image_id,image_path,split,label,G_p95_au,sat_frac
solo_train_neg_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_1.jpg,train,neg,193.0000,0.0000
solo_train_neg_10,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_10.jpg,train,neg,221.0000,0.0000
solo_train_neg_11,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_11.jpg,train,neg,221.0000,0.0000
solo_train_neg_12,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_12.jpg,train,neg,206.0000,0.0000
solo_train_neg_13,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_13.jpg,train,neg,212.0000,0.0000
solo_train_neg_14,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_14.jpg,train,neg,213.0000,0.0000
solo_train_neg_15,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_15.jpg,train,neg,204.0000,0.0000
solo_train_neg_16,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_16.jpg,train,neg,213.0000,0.0000
solo_train_neg_17,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_17.jpg,train,neg,211.0000,0.0000
solo_train_neg_18,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_18.jpg,train,neg,202.0000,0.0000
solo_train_neg_19,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_19.jpg,train,neg,209.0000,0.0000
solo_train_neg_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_2.jpg,train,neg,195.0000,0.0000
solo_train_neg_20,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_20.jpg,train,neg,208.0000,0.0000
solo_train_neg_21,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_21.jpg,train,neg,211.0000,0.0000
solo_train_neg_22,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_22.jpg,train,neg,210.0000,0.0000
solo_train_neg_23,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_23.jpg,train,neg,198.0000,0.0000
solo_train_neg_24,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_24.jpg,train,neg,198.0000,0.0000
solo_train_neg_25,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_25.jpg,train,neg,170.0000,0.0000
solo_train_neg_26,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_26.jpg,train,neg,169.0000,0.0000
solo_train_neg_27,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_27.jpg,train,neg,179.0000,0.0000
solo_train_neg_28,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_28.jpg,train,neg,178.0000,0.0000
