image_id,image_path,split,label,n_roi,I
solo_train_neg_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_1.jpg,train,neg,1,193.000000
solo_train_neg_10,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_10.jpg,train,neg,1,221.000000
solo_train_neg_11,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_11.jpg,train,neg,1,221.000000
solo_train_neg_12,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_12.jpg,train,neg,1,206.000000
solo_train_neg_13,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_13.jpg,train,neg,1,212.000000
solo_train_neg_14,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_14.jpg,train,neg,1,213.000000
solo_train_neg_15,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_15.jpg,train,neg,1,204.000000
solo_train_neg_16,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_16.jpg,train,neg,1,213.000000
solo_train_neg_17,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_17.jpg,train,neg,1,211.000000
solo_train_neg_18,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_18.jpg,train,neg,1,202.000000
solo_train_neg_19,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_19.jpg,train,neg,1,209.000000
solo_train_neg_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_2.jpg,train,neg,1,195.000000
solo_train_neg_20,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_20.jpg,train,neg,1,208.000000
solo_train_neg_21,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_21.jpg,train,neg,1,211.000000
solo_train_neg_22,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_22.jpg,train,neg,1,210.000000
solo_train_neg_23,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_23.jpg,train,neg,1,198.000000
solo_train_neg_24,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_24.jpg,train,neg,1,198.000000
solo_train_neg_25,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_25.jpg,train,neg,1,170.000000
solo_train_neg_26,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_26.jpg,train,neg,1,169.000000
solo_train_neg_27,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_27.jpg,train,neg,1,179.000000
solo_train_neg_28,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_28.jpg,train,neg,1,178.000000
solo_train_neg_29,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_29.jpg,train,neg,1,208.000000
solo_train_neg_3,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_3.jpg,train,neg,1,212.000000
solo_train_neg_30,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_30.jpg,train,neg,1,208.000000
solo_train_neg_31,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_31.jpg,train,neg,1,212.000000
solo_train_neg_32,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_32.jpg,train,neg,1,210.000000
solo_train_neg_33,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_33.jpg,train,neg,1,203.000000
solo_train_neg_34,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_34.jpg,train,neg,1,205.000000
solo_train_neg_35,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_35.jpg,train,neg,1,199.000000
solo_train_neg_36,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_36.jpg,train,neg,1,200.000000
solo_train_neg_37,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_37.jpg,train,neg,1,208.000000
