image_path,group,lower_label,I_nc,I_sample,delta_pct,ratio,note
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_1.jpg,neg_pos,pos,198.000000,240.000000,19.178082,1.212121,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_10.jpg,neg_pos,pos,192.000000,239.000000,21.809745,1.244792,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_11.jpg,neg_pos,pos,172.000000,229.000000,28.428928,1.331395,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_12.jpg,neg_pos,pos,173.000000,230.000000,28.287841,1.329480,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_13.jpg,neg_pos,pos,177.000000,241.000000,30.622010,1.361582,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_14.jpg,neg_pos,pos,163.000000,220.000000,29.765013,1.349693,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_15.jpg,neg_pos,pos,164.000000,220.000000,29.166667,1.341463,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_16.jpg,neg_pos,pos,203.000000,248.000000,19.955654,1.221675,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_17.jpg,neg_pos,pos,202.000000,241.000000,17.607223,1.193069,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_18.jpg,neg_pos,pos,171.000000,231.000000,29.850746,1.350877,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_19.jpg,neg_pos,pos,173.000000,228.000000,27.431421,1.317919,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_2.jpg,neg_pos,pos,201.000000,241.000000,18.099548,1.199005,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_20.jpg,neg_pos,pos,174.000000,232.000000,28.571429,1.333333,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_3.jpg,neg_pos,pos,216.000000,241.000000,10.940919,1.115741,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_4.jpg,neg_pos,pos,213.000000,243.000000,13.157895,1.140845,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_5.jpg,neg_pos,pos,192.000000,233.000000,19.294118,1.213542,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_6.jpg,neg_pos,pos,193.000000,234.000000,19.203747,1.212435,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_7.jpg,neg_pos,pos,207.000000,240.000000,14.765101,1.159420,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_8.jpg,neg_pos,pos,198.000000,239.000000,18.764302,1.207071,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_pos\pair_neg_pos_9.jpg,neg_pos,pos,193.000000,240.000000,21.709007,1.243523,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_1.jpg,neg_neg,neg,210.000000,189.000000,10.526316,0.900000,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_10.jpg,neg_neg,neg,232.000000,227.000000,2.178649,0.978448,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_11.jpg,neg_neg,neg,193.000000,204.000000,5.541562,1.056995,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_12.jpg,neg_neg,neg,191.000000,202.000000,5.597964,1.057592,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_13.jpg,neg_neg,neg,202.000000,220.000000,8.530806,1.089109,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_14.jpg,neg_neg,neg,204.000000,221.000000,8.000000,1.083333,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_15.jpg,neg_neg,neg,206.000000,201.000000,2.457002,0.975728,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_16.jpg,neg_neg,neg,204.000000,201.000000,1.481481,0.985294,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_17.jpg,neg_neg,neg,182.000000,170.000000,6.818182,0.934066,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_18.jpg,neg_neg,neg,180.000000,171.050000,5.098989,0.950278,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_19.jpg,neg_neg,neg,241.000000,236.000000,2.096436,0.979253,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_2.jpg,neg_neg,neg,208.000000,187.000000,10.632911,0.899038,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_20.jpg,neg_neg,neg,242.000000,235.000000,2.935010,0.971074,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_21.jpg,neg_neg,neg,161.000000,186.000000,14.409222,1.155280,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_22.jpg,neg_neg,neg,183.000000,215.000000,16.080402,1.174863,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_23.jpg,neg_neg,neg,184.000000,224.000000,19.607843,1.217391,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_24.jpg,neg_neg,neg,180.000000,214.000000,17.258883,1.188889,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_25.jpg,neg_neg,neg,,,,,ROI_PARTIAL
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_26.jpg,neg_neg,neg,,,,,ROI_PARTIAL
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_3.jpg,neg_neg,neg,203.000000,195.000000,4.020101,0.960591,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_4.jpg,neg_neg,neg,203.000000,195.000000,4.020101,0.960591,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_5.jpg,neg_neg,neg,200.000000,201.000000,0.498753,1.005000,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_6.jpg,neg_neg,neg,174.000000,173.000000,0.576369,0.994253,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_7.jpg,neg_neg,neg,200.000000,206.000000,2.955665,1.030000,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_8.jpg,neg_neg,neg,226.000000,229.000000,1.318681,1.013274,
C:\n.gonorrhea_diagnostic_app\dataset\pair\neg_neg\neg_neg_9.jpg,neg_neg,neg,231.000000,227.000000,1.746725,0.982684,
