image_id,image_path,split,label,I
solo_train_neg_1,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_1.jpg,train,neg,193.000000
solo_train_neg_10,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_10.jpg,train,neg,221.000000
solo_train_neg_11,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_11.jpg,train,neg,221.000000
solo_train_neg_12,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_12.jpg,train,neg,206.000000
solo_train_neg_13,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_13.jpg,train,neg,212.000000
solo_train_neg_14,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_14.jpg,train,neg,213.000000
solo_train_neg_15,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_15.jpg,train,neg,204.000000
solo_train_neg_16,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_16.jpg,train,neg,213.000000
solo_train_neg_17,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_17.jpg,train,neg,211.000000
solo_train_neg_18,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_18.jpg,train,neg,202.000000
solo_train_neg_19,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_19.jpg,train,neg,209.000000
solo_train_neg_2,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_2.jpg,train,neg,195.000000
solo_train_neg_20,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_20.jpg,train,neg,208.000000
solo_train_neg_21,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_21.jpg,train,neg,211.000000
solo_train_neg_22,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_22.jpg,train,neg,210.000000
solo_train_neg_23,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_23.jpg,train,neg,198.000000
solo_train_neg_24,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_24.jpg,train,neg,198.000000
solo_train_neg_25,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_25.jpg,train,neg,170.000000
solo_train_neg_26,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_26.jpg,train,neg,169.000000
solo_train_neg_27,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_27.jpg,train,neg,179.000000
solo_train_neg_28,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_28.jpg,train,neg,178.000000
solo_train_neg_29,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_29.jpg,train,neg,208.000000
solo_train_neg_3,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_3.jpg,train,neg,212.000000
solo_train_neg_30,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_30.jpg,train,neg,208.000000
solo_train_neg_31,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_31.jpg,train,neg,212.000000
solo_train_neg_32,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_32.jpg,train,neg,210.000000
solo_train_neg_33,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_33.jpg,train,neg,203.000000
solo_train_neg_34,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_34.jpg,train,neg,205.000000
solo_train_neg_35,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_35.jpg,train,neg,199.000000
solo_train_neg_36,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_36.jpg,train,neg,200.000000
solo_train_neg_37,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_37.jpg,train,neg,208.000000
solo_train_neg_38,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_38.jpg,train,neg,210.000000
solo_train_neg_39,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_39.jpg,train,neg,207.000000
solo_train_neg_4,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_4.jpg,train,neg,212.000000
solo_train_neg_40,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_40.jpg,train,neg,208.000000
solo_train_neg_5,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_5.jpg,train,neg,214.000000
solo_train_neg_6,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_6.jpg,train,neg,214.000000
solo_train_neg_7,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_7.jpg,train,neg,211.000000
solo_train_neg_8,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_8.jpg,train,neg,212.000000
solo_train_neg_9,C:\ngd_data\dataset\solo\train\neg\solo_train_neg_9.jpg,train,neg,208.000000
solo_train_pos_1,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_1.jpg,train,pos,246.000000
solo_train_pos_10,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_10.jpg,train,pos,239.000000
solo_train_pos_11,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_11.jpg,train,pos,227.000000
solo_train_pos_12,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_12.jpg,train,pos,227.000000
